,Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop
1,6/12/2022,36007,24,Broome County,NY,97.6,131902,69.2,131891,73,127392,76.6,119777,77.9,35037,94.7,122136,64.1,122130,67.6,11168,41.5,118096,71,110962,72.2,32723,88.5,69306,56.7,69226,58.6,67211,60.6,44786,71.9,25617,78.3,C,10,11,11,11,11,12,Metro,2,3,3,3,3,4,12,12,12,11,4,4,4,3,190488,180602,26919,166375,153683,36980
2,6/11/2022,36007,23,Broome County,NY,97.6,131900,69.2,131889,73,127390,76.6,119775,77.9,35037,94.7,122135,64.1,122129,67.6,11168,41.5,118095,71,110961,72.2,32723,88.5,69306,56.7,69226,58.6,67211,60.6,44786,71.9,25617,78.3,C,10,11,11,11,11,12,Metro,2,3,3,3,3,4,12,12,12,11,4,4,4,3,190488,180602,26919,166375,153683,36980
3,6/10/2022,36007,23,Broome County,NY,97.6,131859,69.2,131848,73,127355,76.5,119743,77.9,35029,94.7,122100,64.1,122094,67.6,11159,41.5,118066,71,110935,72.2,32713,88.5,69266,56.7,69188,58.6,67174,60.6,44760,71.9,25605,78.3,C,10,11,11,11,11,12,Metro,2,3,3,3,3,4,12,12,12,11,4,4,4,3,190488,180602,26919,166375,153683,36980
4,6/9/2022,36007,23,Broome County,NY,97.6,131791,69.2,131780,73,127291,76.5,119679,77.9,35013,94.7,122036,64.1,122030,67.6,11144,41.4,118010,70.9,110886,72.2,32694,88.4,69128,56.6,69070,58.5,67077,60.5,44708,71.8,25567,78.2,C,10,11,11,11,11,12,Metro,2,3,3,3,3,4,12,12,12,11,4,4,4,3,190488,180602,26919,166375,153683,36980
5,6/8/2022,36007,23,Broome County,NY,97.6,131786,69.2,131775,73,127287,76.5,119676,77.9,35013,94.7,122027,64.1,122021,67.6,11142,41.4,118003,70.9,110879,72.1,32692,88.4,69122,56.6,69064,58.5,67071,60.5,44704,71.8,25564,78.2,C,10,11,11,11,11,12,Metro,2,3,3,3,3,4,12,12,12,11,4,4,4,3,190488,180602,26919,166375,153683,36980
6,6/7/2022,36007,23,Broome County,NY,97.6,131777,69.2,131766,73,127279,76.5,119668,77.9,35011,94.7,122017,64.1,122011,67.6,11142,41.4,117993,70.9,110869,72.1,32691,88.4,69122,56.6,69064,58.5,67071,60.5,44702,71.8,25563,78.2,C,10,11,11,11,11,12,Metro,2,3,3,3,3,4,12,12,12,11,4,4,4,3,190488,180602,26919,166375,153683,36980
7,6/6/2022,36007,23,Broome County,NY,97.6,131768,69.2,131757,73,127271,76.5,119663,77.9,35008,94.7,122010,64.1,122004,67.6,11140,41.4,117986,70.9,110864,72.1,32689,88.4,69111,56.6,69053,58.5,67063,60.5,44696,71.8,25559,78.2,C,10,11,11,11,11,12,Metro,2,3,3,3,3,4,12,12,12,11,4,4,4,3,190488,180602,26919,166375,153683,36980
8,6/5/2022,36007,23,Broome County,NY,97.6,131768,69.2,131757,73,127271,76.5,119663,77.9,35008,94.7,122010,64.1,122004,67.6,11140,41.4,117986,70.9,110864,72.1,32689,88.4,69111,56.6,69053,58.5,67063,60.5,44696,71.8,25559,78.2,C,10,11,11,11,11,12,Metro,2,3,3,3,3,4,12,12,12,11,4,4,4,3,190488,180602,26919,166375,153683,36980
9,6/4/2022,36007,22,Broome County,NY,97.6,131765,69.2,131754,73,127268,76.5,119660,77.9,35006,94.7,122008,64.1,122002,67.6,11140,41.4,117984,70.9,110862,72.1,32689,88.4,69099,56.6,69041,58.5,67051,60.5,44685,71.8,25549,78.2,C,10,11,11,11,11,12,Metro,2,3,3,3,3,4,12,12,12,11,4,4,4,3,190488,180602,26919,166375,153683,36980
10,6/3/2022,36007,22,Broome County,NY,97.6,131752,69.2,131741,72.9,127258,76.5,119653,77.9,35004,94.7,121997,64,121991,67.5,11139,41.4,117974,70.9,110852,72.1,32686,88.4,69083,56.6,69025,58.5,67035,60.5,44674,71.8,25542,78.1,C,10,11,11,11,11,12,Metro,2,3,3,3,3,4,12,12,12,11,4,4,4,3,190488,180602,26919,166375,153683,36980
